Input Sample	B cells memory	B cells naive	Dendritic cells activated	Dendritic cells resting	Eosinophils	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells activated	Mast cells resting	Monocytes	NK cells activated	NK cells resting	Neutrophils	Plasma cells	T cells CD4 memory activated	T cells CD4 memory resting	T cells CD4 naive	T cells CD8	T cells follicular helper	T cells gamma delta	T cells regulatory (Tregs)	P-value	Pearson Correlation	RMSE
10001625-TT-R	0	0.16366643368458186	0	0.00450650721610988	0	0.014744325821502917	0.03566446591666686	0.34700916348375455	0.07594158597445357	0.03574961045092628	0	0.04653471388170016	0	0.0062468675379254565	0.07731633144790775	0.04194994676821477	0.052970656582439976	0	0.0609088497177474	0.020954451598855697	0	0.015836089917212838	0.18	0.16891661280911868	1.0005049800865544
10001691-TT-R	0	0.188271971629462	0.006203239131439474	0	0	0	0.015134311671312576	0.19633262701241863	0.043203651471984156	0.13832654731254132	0.06869486945599781	0.0662950291120123	0	0	0.08307977199578805	0	0.0677057023798484	0	0.08503702986809643	0.03196551590609119	0	0.009749733053007704	0.53	0.01615356618071952	1.046529305887965
11000047-TT-R	0	0.05596555253046696	0.007020415372669792	0	0	0	0.1071461630912767	0.05293425135566313	0.25121580736241295	0	0.10612334814122482	0.06798798489632966	0	0	0.05867093353960572	0	0.053591488032414605	0	0.1318436794079906	0.09784823278947016	0	0.009652143480474988	0.01	0.34536509025500667	0.9384496848097851
11000095-TT-R	0	0.17758164368322207	0.015075261167237373	0.003882612267168041	0.025879328071348767	0	0.1420244356630703	0.1517187357335806	0.07134869513029028	0	0	0.1108677829479984	0	0.01502405943990469	0.03751285242955592	0.004008668558578702	0.05727490464720915	0	0.12094100212634264	0.0668600181344931	0	0	0	0.3685341248964426	0.9325907912130226
11000142-TT-R	0	0.18381910063117549	0	0.006908406103823033	0.0019023561386481264	0	0.033523858391150706	0.013891435615968744	0.10429394567821867	0	0	0.14915453352072108	0	0.005623062124334899	0.15852301815259268	0.02557925830819011	0.1375151910419749	0	0.10269077294563941	0.05783408847705179	0	0.0187409728705103	0.23	0.11958736585811593	1.0517175926732314
11000204-TT-R	0	0.0941658474445503	0.051989146887785824	0	0.01077619409872349	0	0.021641371127537185	0	0.15149295902826115	0	0.030536511098369256	0.11325767508555665	0	0	0.13645412032440926	0	0.1401689818668067	0	0.11321265466614393	0.1363045383718563	0	0	0.04	0.2664046648058364	0.9799066734250237
11000226-TT-R	0	0.10976991021281382	0.004051098699588719	0	0	0	0.04230642325454974	0.10130559957260374	0.2602597309555512	0	0.018955040258583578	0.10072821025450565	0	0	0.08802405702616892	0.03224697182826516	0.04445676803434817	0	0.11355963452022672	0.0811320799179464	0	0.0032044754648480997	0.24	0.11009921663679009	1.032282422375931
11000288-TT-R	0	0.0949599508883709	0.01183414753993637	0	0	0	0.026675113562481003	0.2652526795525462	0	0.1867522969245024	0.0436322541612418	0.05941742696960849	0	0	0.008807666177524903	0	0.20207510952219787	0	0.058897797521012374	0.025592320255797524	0	0.016103236924780114	0.29	0.08585375215254004	1.0338529073960314
11000350-TT-R	0	0.08759172580582196	0.010324762710574757	0.011817848744572463	0.01635765693600622	0	0.07370837499064005	0.13921662880448588	0.08548536935378051	0	0.022340037753110702	0.14983333258057407	0	0	0	0.08574287776955887	0	0	0.22222246056039585	0.09535892399047875	0	0	0	0.4495259654129061	0.8928946815298752
11000359-TT-R	0	0.050232975675826776	0.006389363614229868	0	0	0.013623928591521445	0.1828123565527198	0.06496106357013555	0.2793469890713071	0.13386950811116438	0.03288534758692786	0.053071650825316403	0	0.02872716813589334	0	0	0.062202716947580415	0	0.03738590341691524	0.044494364549603566	0	0.009996663350858258	0	0.4065387078629939	0.9137165269360229
11000365-TT-R	0	0.040207057843328266	0.009221295770824565	0	0	0	0	0.03698057826464653	0.581269563086401	0	0.06594022278689658	0.0625498302640934	0	0.009099183763334226	0.027544452791692684	0	0.07814966128936368	0	0.02338137487520076	0.020964252890749793	0	0.0446925263734686	0	0.5427772112475431	0.8414488800385194
11000372-TT-R	0	0.11065272294008816	0.059942393179145764	0	0	0	0.15208861997751558	0.017363628748773258	0.24349767980538586	0	0	0.09775622128025735	0.0019047577669946897	0.04639224600720384	0.0390712210388726	0	0	0	0.16535069318151527	0.06597981607424767	0	0	0.07	0.22652799392631445	1.006721836701109
11000374-TT-R	0	0.15538567570810521	0	0	0	0	0.08060786581912988	0.19372324485106807	0.0752491453529074	0.027354819239315573	0.014938182741523712	0.10379136001816319	0	0.0021317063905415636	0.06461940652340815	0.08965994525077249	0.03557504820611651	0	0.09822292493948931	0.05874067495945896	0	0	0.14	0.20432086098354835	0.9945023194799414
11000381-TT-R	0	0.08221270456586752	0.15741369676846045	0	0	0.008816434698802835	0.09930520042689386	0.1493930450281075	0.21804878879431858	0	0.03935138574360515	0.044934511989147045	0	0.024921222824975237	0.01613015658513696	0	0.03120069899145937	0	0.05102402084621987	0.06226421187421581	0	0.014983920862789877	0.01	0.3433140752482032	0.9418389441654081
11000385-TT-R	0	0.18023052181769017	0.03187492317743495	0	0.0221440151778311	0	0.0961500582982952	0.11373824889838165	0.18815442299257734	0	0	0.06049626470508967	0.03122880101637091	0.024608288186636556	0	0.01475237525999796	0.1301188181600605	0	0.04137742299377086	0.06512583931586306	0	0	0.05	0.24499992149009192	0.9825171597064378
11000403-TT-R	0	0.05412819985536834	0.014392046450425354	0	0	0	0.013573362504914343	0.11439399141139822	0.3430748606586028	0	0.059268734689028164	0.04570206027195079	0	0	0.08109042095698282	0	0.18135614382390705	0	0.0448701405565444	0.023641299430895355	0	0.02450873938998237	0.23	0.13202432191652766	1.0226698746672673
11000461-TT-R	0	0.08252431615512727	0.03304495863768533	0.0019200018041283596	0	0.08425890936032461	0.03453346137854185	0.15397100645882417	0.17252440971749394	0	0.08694279496805529	0.0914169120945128	0	0	0.04143271306855565	0.006399700132744276	0.1021021725710852	0	0.0714781958711109	0.014454221831180546	0	0.02299622595062978	0.23	0.1408039618124516	1.0178559583645805
11000498-TT-R	0	0.11470254599135658	0.00599992996028736	0	0.015308009037715996	0.007791325851396909	0.05086909885737248	0.1966040591500995	0.21598590472225163	0	0.08456611989640579	0.05817339891673835	0	0.011745476848626545	0.046346789342499375	0.04835856235678599	0.08886837182124722	0	0.030523353814787185	0.024157053432428993	0	0	0.06	0.2280957596365308	0.9791268859897162
11000511-TT-R	0	0.0967238995895405	0.024425672779299256	0	0	0	0.05723784398114066	0.07639924570373002	0.09152991340081375	0	0.025298613503403226	0.04190558373600479	0	0.005074955390765398	0.1480664617225565	0.011450734599965418	0.06444042648662493	0	0.20451926199824014	0.1529273871079154	0	0	0.22	0.14601268332414052	1.0295880749892334
11000515-TT-R	0	0.04648297528023874	0.02444350007966144	0.006501466528452024	0	0	0.010758621757816432	0.20653939658715004	0.20021965628813826	0.07418533843924587	0.08485675978550657	0.044083181916395354	0	0.054329122729343766	0.00843299991866952	0	0.13382304703446704	0	0.07135384719646673	0.021265840383743177	0	0.012724246074705075	0.17	0.17845359963294294	0.9991687842399306
11000552-TT-R	0	0.05493402552909652	0.0305963166525273	0.0035696735573045296	0	0	0.03750485016399252	0.2190171674922791	0.3048561025095871	0	0.03816509736732673	0.07470210366887464	0	0	0.002958673871148959	0.047534348736891066	0.023240268530395982	0	0.12313075800061503	0.03979061391996047	0	0	0.05	0.24228872777736804	0.9801306300204604
11000557-TT-R	0	0.13313862655980718	0.0051587021997047	0.008206305013819285	0	0	0.026103965686382045	0.1343245219441921	0.13385570450548157	0	0.03602439669066927	0.1379275111692319	0	0	0.047951261284193886	0.05761109916746391	0.08794297379199939	0	0.09795672802142216	0.09379820396563258	0	0	0.15	0.20114397508035786	1.0039969160361848
11000562-TT-R	0	0.1314091055315113	0.006663123929332416	0	0	0	0.06255274535630993	0.15405212136545113	0.1094004061025043	0	0.11609955576579464	0.01270042195216547	0	0.0735373685289719	0.009358301774912625	0.03199348466741446	0.20382942162197892	0	0.0665782671767676	0.021825676226885343	0	0	0	0.4008579713727166	0.9138281635874366
11000573-TT-R	0	0.06081455722610255	0.02352182692808375	0.0008	0	0.03380876360510511	0.01623667999899626	0.16025683016891007	0.401705653557818	0	0.035434069568084085	0.029567891264630494	0	0.016648969858641074	0.01949396753274809	0.052002225097515405	0.1151070894278634	0	0.02308113865884606	0.011550546425250536	0	0	0	0.4496459223699896	0.8927980404233125
11000593-TT-R	0	0.04877548686821097	0.0166902848572439	0	0.004278199222917214	0	0.06091604927142528	0.09897804619550479	0.38498006274064117	0	0.1153559358448196	0.014732249545384267	0	0.011225156218097289	0.006832967163282363	0	0.16353271342558393	0	0.03239610916404125	0.041306739482847986	0	0	0	0.428668636922619	0.9020338241419412
11000674-TT-R	0	0.08480118175281669	0.013552908278738302	0	0	0	0.014672068656539024	0	0.4638359121473999	0	0.07745336019042288	0.0237761598830447	0	0.03936264626339248	0.11776956505412259	0	0.0686354480647446	0	0.059894192426930185	0.034799890772651505	0	0.0014466665091970993	0.05	0.23706967439542678	0.9838489618808808
11000679-TT-R	0	0.1072443516894861	0.007679432626789095	0	0	0	0.059002386707387416	0.002561536605526424	0.409670919396768	0	0.03861556083438699	0.06147285324973411	0	0	0.07035120365306198	0	0.09640998258760004	0	0.057159639342183405	0.07114652557877109	0	0.01868560772830529	0.02	0.3183838628093935	0.9505909959883428
11000681-TT-R	0	0.13701026797024005	0.00913690522206061	0	0	0.05527932502906947	0.1051211989084418	0.07269459791231034	0.15737584162990292	0	0.037843945862211494	0.12099094199122801	0	0.017913876743648388	0.04015214838720633	0.04682772347098045	0.035393285746572654	0	0.08587302530969158	0.06317209998259447	0	0.015214815833841428	0.15	0.19641519050325226	1.0049348227908825
11000684-TT-R	0	0.07415252843118642	0	0	0	0.13159015949423317	0.07620183353795772	0.19024154390283277	0.24000426793937657	0	0	0.05287345943450808	0	0.08658767848942468	0.01794421492142806	0.025361200508420147	0.02284308628579181	0	0.03716759328135192	0.024148618229865297	0	0.02088381554362333	0.15	0.20120602251251585	1.0066286881271729
11000689-TT-R	0	0.12296913110450104	0	0.0024069266167180015	0	0.10378595389831995	0.09842843754770017	0.2564629188679045	0.22597653408685078	0	0	0.026071505773597417	0	0.01948767131543983	0.011393448752061225	0	0.025186522661729202	0	0.044830490679301796	0.03689008995467484	0	0.026110368741201193	0.06	0.2281768991195356	0.9934806008941188
11000814-TT-R	0	0.019340127454699436	0.008236358926926124	0.007961517765809237	0	0.037589424290932455	0.007346668001765187	0	0.7443025774481311	0	0.018092845482951377	0.008229022251032062	0	0.03707029663176827	0	0	0.05188744503861922	0	0.013040059630434614	0.02846091753975356	0	0.018442739537177337	0	0.7574672114667856	0.6777850270710267
